,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE
10221,42,Aug 89,E. Catalan,"D.T. Griffiths
H.J. Woodall","44
44","May 91
May 91","55
55",53
10222,42,Aug 89,Prof. Déprez,H.J. Woodall,48,Jan 95,63,44
10223,42,Aug 89,Prof. Neuberg,V. Ramaswami Aiyar,43,Jun 90,53,44
10224,42,Aug 89,G. de Longchamps,"J.J. Barniville
H.J. Woodall","xx
xx","xx
xx","53
53",22
10225,42,Aug 89,Prof. Dechamps,"Emily Perrin
H.J. Woodall","xx
xx","xx
xx","56
56",9
10226,42,Aug 89,Prof. Mandart,"G.G. Morrice
H.J. Woodall","43
43","Jan 90
Jan 90","53
53",41
10227,42,Aug 89,Prof. Fitz-Patrick,,,,,41
10228,42,Aug 89,Prof. Mascart,"H.J. Woodall
N. Sarkar","48
xx","Feb 95
xx","63
63",47
10229,42,Aug 89,Prof. Stammer,"J.J. Barniville
Morgan Brierley","xx
xx","xx
xx","54
54",41
10230,42,Aug 89,Prof. Morley,G.N. Bates,62,Oct 09,92,44
10231,42,Aug 89,F.X. de Wachter,H.J. Woodall,xx,xx,57,17
10232,42,Aug 89,Prof. Lemaire,,,,,41
10233,42,Aug 89,Prof. Moreau,"P.H. Schoute
R. Knowles","42
42","Nov 89
Nov 89","52
52",41
10234,42,Aug 89,P.H. Schoute,S. Sircom,44,Jun 91,55,66
10235,42,Aug 89,Editor,"H.J. Woodall
Prof. Gopalachanar","49
49","Mar 96
Mar 96","65
65",41
10236,42,Aug 89,Artemas Martin,J. Blaikie,55,Sep 02,78,41
10237,42,Aug 89,D.T. Griffiths,"Emily Perrin
G.G. Storr","43
43","Jan 90
Jan 90","53
53",45
10238,42,Aug 89,J.J. Barniville,"H.J. Woodall
T. Galliers","43
43","Feb 90
Feb 90","53
53",46
10239,42,Aug 89,E. Vigarié,W.S. McCay,42,Oct 89,52,41
10240,42,Aug 89,R.W.D. Christie,"J.J. Barniville
H.J. Woodall","xx
xx","xx
xx","54
54",9
10241,42,Aug 89,H.L. Orchard,"R. Knowles
Emily Perrin","xx
xx","xx
xx","52
52",22
10242,42,Aug 89,J.C. St. Clair,J.C. St. Clair,xx,xx,55,41
10243,42,Aug 89,Maurice D’Ocagne,J.J. Barniville,xx,xx,53,87
